STT,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,City
283362,01010586,,,5.75,6.75,,,7.8,7.0,5.75,8.4,8.75,01
283363,01010587,,,7.5,6.83,,,6.0,7.0,6.75,7.8,6.25,01
283364,01010588,,,8.0,7.58,,,7.0,7.0,8.0,8.0,6.75,01
283365,01010589,,,6.75,6.83,,,8.0,4.75,5.0,9.2,8.75,01
283366,01010590,,,3.75,5.0,,,5.4,6.0,4.0,7.8,7.25,01
283367,01010591,,,6.75,6.58,,,7.2,7.0,5.5,8.0,7.50,01
283368,01010592,,,7.25,6.83,,,9.2,6.25,5.25,8.6,8.00,01
283369,01010593,,,5.0,3.83,,,7.2,6.5,3.0,7.0,3.50,01
283370,01010594,,,3.0,4.83,,,8.0,6.25,5.5,7.4,6.00,01
283371,01010595,,,5.25,6.33,,,8.4,5.5,5.0,8.6,8.75,01
283372,01010596,,,6.0,5.75,,,3.2,5.0,5.25,7.4,6.00,01
283373,01010597,,,9.0,7.25,,,7.4,6.0,5.25,9.4,7.50,01
283374,01010598,,,4.0,5.58,,,8.4,7.25,4.5,9.0,8.25,01
283375,01010599,,,5.75,6.08,,,7.6,5.25,4.5,8.4,8.00,01
283376,01010600,,,8.25,7.08,,,5.8,6.5,5.0,8.6,8.00,01
283377,01010601,,,6.25,7.0,,,7.6,7.25,6.75,8.4,8.00,01
283378,01010602,7.25,8.75,,,7.58,6.75,,6.0,,7.0,,01
283379,01010603,,,4.5,4.92,,,6.6,6.25,5.0,8.4,5.25,01
283380,01010604,,,4.0,5.33,,,8.4,6.25,4.0,9.2,8.00,01
283381,01010605,,,6.5,5.75,,,4.2,6.5,4.25,7.2,6.50,01
283382,01010606,,,8.25,6.67,,,7.6,5.75,5.25,8.2,6.50,01
283383,01010607,,,2.75,4.25,,,6.4,8.0,3.75,8.6,6.25,01
283384,01010608,,,5.5,4.83,,,4.8,7.0,4.75,7.0,4.25,01
283385,01010609,,,8.75,6.33,,,7.0,6.25,8.0,9.0,2.25,01
283386,01010610,,,5.0,6.58,,,4.4,6.5,7.25,7.8,7.50,01
283387,01010611,,,7.75,6.58,,,5.4,7.25,3.75,8.4,8.25,01
283388,01010612,,,3.5,4.5,,,7.0,6.75,3.25,8.6,6.75,01
283389,01010613,,,6.5,6.83,,,8.6,8.0,6.0,9.2,8.00,01
283390,01010614,,,3.25,3.75,,,5.2,7.0,4.75,6.0,3.25,01
283391,01010615,,,7.5,6.5,,,5.6,7.0,4.25,8.6,7.75,01
283392,01010616,,,7.5,6.33,,,6.0,7.5,4.5,8.8,7.00,01
283393,01010617,,,3.0,3.0,,,8.2,7.25,4.5,7.0,1.50,01
283394,01010618,,,9.25,7.42,,,8.0,4.5,5.5,9.2,7.50,01
283395,01010619,,,4.5,5.25,,,6.0,5.67,4.25,7.2,7.00,01
283396,01010620,,,4.5,3.5,,,4.0,5.5,2.75,8.2,3.25,01
283397,01010621,,,9.0,8.0,,,8.2,6.0,7.0,8.8,8.00,01
283398,01010622,,,3.5,4.75,,,,7.5,3.25,8.8,7.50,01
283399,01010623,,,7.75,6.25,,,8.4,6.5,2.75,9.2,8.25,01
283400,01010624,,,7.0,6.25,,,8.0,3.25,3.5,8.0,8.25,01
283401,01010625,,,8.75,7.17,,,3.8,7.0,5.0,8.8,7.75,01
283402,01010626,,,4.75,6.25,,,8.8,6.5,5.0,9.0,9.00,01
283403,01010627,,,5.0,6.25,,,8.4,6.5,5.25,9.2,8.50,01
283404,01010628,,,5.75,6.42,,,8.2,7.25,5.5,8.4,8.00,01
283405,01010629,,,5.0,6.0,,,4.0,7.5,5.75,7.8,7.25,01
283406,01010630,,,7.0,6.0,,,5.4,7.25,5.25,7.0,5.75,01
283407,01010631,,,9.75,7.83,,,5.6,7.0,9.0,9.2,4.75,01
283408,01010632,,,4.75,5.42,,,7.8,7.25,3.75,8.6,7.75,01
283409,01010633,,,7.25,5.33,,,9.2,6.0,5.5,7.0,3.25,01
283410,01010634,,,8.0,5.75,,,9.6,8.25,5.0,8.4,4.25,01
283411,01010635,,,6.0,5.42,,,3.0,7.0,7.0,7.2,3.25,01
283412,01010636,,,8.25,7.33,,,6.2,6.5,8.25,8.4,5.50,01
283413,01010637,,,4.5,5.58,,,6.4,7.25,4.75,8.2,7.50,01
283414,01010638,,,7.25,6.58,,,8.4,8.25,5.5,8.6,7.00,01
283415,01010639,6.25,8.25,,,6.58,5.25,,8.5,,6.8,,01
283416,01010640,,,8.5,6.83,,,8.0,8.0,6.5,9.4,5.50,01
283417,01010641,,,4.25,5.25,,,5.0,8.5,5.5,8.6,6.00,01
283418,01010642,,,9.0,7.08,,,4.8,7.75,4.5,9.0,7.75,01
283419,01010643,,,8.0,7.33,,,6.6,7.25,5.0,9.0,9.00,01
283420,01010644,,,5.0,5.75,,,6.2,6.75,5.75,7.6,6.50,01
283421,01010645,8.0,8.25,,,7.67,6.75,2.8,7.5,,6.4,,01
283422,01010646,,,4.75,6.0,,,8.0,8.0,5.25,9.0,8.00,01
283423,01010647,,,7.25,6.67,,,7.0,8.5,6.25,8.6,6.50,01
283424,01010648,,,5.0,5.33,,,3.8,7.75,4.75,8.4,6.25,01
283425,01010649,,,6.0,6.67,,,7.6,6.5,5.25,9.6,8.75,01
283426,01010650,,,7.5,5.67,,,7.8,8.5,5.0,8.4,4.50,01
283427,01010651,,,8.5,7.5,,,9.0,8.5,6.25,9.6,7.75,01
283428,01010652,,,4.0,3.33,,,6.8,8.25,3.75,7.4,2.25,01
283429,01010653,,,7.5,6.83,,,6.2,7.0,5.25,8.2,7.75,01
283430,01010654,,,9.0,6.67,,,,7.25,3.25,8.8,7.75,01
283431,01010655,,,6.25,6.25,,,7.2,7.25,4.75,9.0,7.75,01
283432,01010656,,,4.5,5.42,,,6.8,4.75,4.5,7.6,7.25,01
283433,01010657,,,5.5,4.83,,,5.8,7.75,4.75,8.2,4.25,01
283434,01010658,,,5.0,5.08,,,6.0,6.75,5.25,7.6,5.00,01
283435,01010659,,,8.5,7.0,,,5.6,5.0,4.5,9.0,8.00,01
283436,01010660,,,5.5,5.33,,,4.0,6.25,3.75,9.0,6.75,01
283437,01010661,,,5.5,6.17,,,7.2,4.5,6.0,8.6,7.00,01
283438,01010662,,,6.0,6.42,,,9.2,6.75,4.5,8.8,8.75,01
283439,01010663,,,2.25,3.08,,,7.4,6.25,4.0,6.4,3.00,01
283440,01010664,,,3.75,5.83,,,8.6,7.0,5.5,8.8,8.25,01
283441,01010665,,,3.25,5.33,,,8.0,7.75,5.5,8.0,7.25,01
283442,01010666,,,7.5,6.0,,,6.8,5.0,4.25,8.4,6.25,01
283443,01010667,,,4.25,5.83,,,6.2,7.25,5.25,9.0,8.00,01
283444,01010668,,,6.0,6.5,,,7.4,5.5,6.5,8.8,7.00,01
283445,01010669,,,8.0,7.83,,,9.2,6.5,7.75,9.2,7.75,01
283446,01010670,,,7.5,7.5,,,8.2,5.75,6.5,8.0,8.50,01
283447,01010671,,,4.25,6.25,,,9.2,7.25,5.25,9.4,9.25,01
283448,01010672,,,4.0,5.08,,,7.6,6.75,4.5,8.6,6.75,01
283449,01010673,,,4.0,4.92,,,7.4,6.0,3.5,8.0,7.25,01
283450,01010674,,,8.0,6.75,,,7.6,6.25,4.75,8.4,7.50,01
283451,01010675,,,7.5,6.83,,,6.4,5.75,8.0,8.4,5.00,01
283452,01010676,,,3.5,5.58,,,8.8,6.0,5.25,9.2,8.00,01
283453,01010677,,,3.5,5.58,,,8.2,6.75,4.75,8.6,8.50,01
283454,01010678,,,7.75,7.0,,,4.8,6.75,4.75,9.0,8.50,01
283455,01010679,,,5.5,4.92,,,5.0,6.5,2.75,8.4,6.50,01
283456,01010680,,,6.0,5.42,,,5.2,6.25,6.0,8.4,4.25,01
283457,01010681,,,3.25,3.92,,,7.4,3.75,5.0,8.4,3.50,01
283458,01010682,,,8.75,6.08,,,9.4,7.0,5.5,9.2,4.00,01
283459,01010683,,,7.25,6.0,,,4.6,6.5,6.75,6.0,4.00,01
283460,01010684,,,8.0,6.5,,,7.8,7.75,7.0,8.6,4.50,01
283461,01010685,,,6.0,6.75,,,8.0,7.25,4.75,9.2,9.50,01
283462,01010686,,,3.75,5.25,,,8.0,7.25,5.25,8.8,6.75,01
283463,01010687,,,7.75,6.08,,,8.2,7.0,5.5,8.6,5.00,01
283464,01010688,,,4.25,6.0,,,8.2,7.0,5.0,9.0,8.75,01
283465,01010689,,,7.75,5.83,,,5.0,6.75,6.5,7.8,3.25,01
283466,01010690,,,8.0,7.25,,,7.2,8.0,6.0,7.8,7.75,01
283467,01010691,7.25,7.0,,,6.5,5.25,7.6,7.5,,7.0,,01
283468,01010692,,,6.25,5.33,,,4.6,4.5,7.25,9.0,2.50,01
283469,01010693,,,9.0,7.0,,,5.6,6.0,8.75,9.0,3.25,01
283470,01010694,,,8.25,6.17,,,9.0,4.5,6.0,8.2,4.25,01
